N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8272473613975494,0.7908526149158561,0.778851784934524,0.19391408114558473,0.7014795046153557,0.28410056958381197
Model2,500,2,1,0.8084435278418052,0.7744151560783872,0.7793417109279539,0.29295942720763724,0.6102063861539467,0.3558532190137141
Model3,500,3,1,0.8272473613975494,0.7709942140061211,0.794891537714641,0.32398568019093077,0.49461532517043133,0.3778451892644137
Model4,500,1,2,0.8596384811355089,0.8412410640810827,0.837238159981232,0.39200477326968974,0.7860760120693907,0.5050536296639808
Model5,500,2,2,0.8664321242266165,0.8754000141329362,0.869140235211233,0.636038186157518,0.8012491348463542,0.7024379974828509
Model6,500,3,2,0.8829309717335921,0.8782872929020589,0.8660938908905809,0.4594272076372315,0.890446543006737,0.6010182593970168
Model7,800,1,2,0.864855028509038,0.8568768893208774,0.8436382573571901,0.4337708830548926,0.8385450174264915,0.5386414044408706
Model8,800,2,2,0.8854785878927575,0.8844001273360328,0.8838830391670021,0.6634844868735084,0.8503526973000064,0.7385088930277928
Model9,800,3,2,0.899187189130171,0.8930219485288466,0.8880732512588142,0.5483293556085919,0.8905693395978642,0.672865344844735
