N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.872861822152129,0.8599069801467731,0.8469122888543436,0.41229116945107397,0.8053672163159037,0.5169278748626169
Model2,500,2,1,0.8729831372073275,0.8657017228893729,0.8632101417608855,0.49761336515513127,0.791235443021937,0.6021271603491309
Model3,500,3,1,0.8505398519956326,0.8045660857862039,0.8260658023713575,0.3884248210023866,0.484405310894561,0.42742563557102997
Model4,500,1,2,0.9071939827732621,0.8957795765521513,0.8955652245642514,0.6020286396181385,0.8189612093892891,0.6765998464530278
Model5,500,2,2,0.9240567754458329,0.9203912061146146,0.9193138638929049,0.6789976133651552,0.8966405300474184,0.7697798174347038
Model6,500,3,2,0.9148368312507582,0.9243217865794825,0.9177793220209033,0.7362768496420048,0.8573713243008876,0.7892157521841269
Model7,800,1,2,0.9110760645396093,0.9041808684581325,0.8999815342605967,0.6091885441527446,0.8742624476534445,0.698944791700349
Model8,800,2,2,0.9241780905010312,0.9250487635882492,0.9231012282440512,0.733890214797136,0.8903268436407636,0.8019452330894851
Model9,800,3,2,0.9261191313842048,0.922245573333889,0.9206600664467142,0.684964200477327,0.9078994616709107,0.7751034792716576
